Designator,Footprint,Quantity,Value,Rotation,Layer,Fitted,Ref-X(mm),Ref-Y(mm)

"C1","C0805_N","1","10uF 10V","90","Top","","-20.337","19.263"
"C2","C0603_N","1","100nF 16V","90","Top","","-22.087","19.013"
"C3","C0603_N","1","220pF","180","Top","","-26.25","24.5"
"C4","C0603_N","1","220pF","0","Top","","-22.75","24.5"
"C5","C0603_N","1","1uF 16V","180","Top","","-28","7"
"C6","C0603_N","1","1uF 16V","270","Top","","-21.25","6.25"
"C7","C0603_N","1","1uF 16V","180","Top","","47.1","-44.2"
"C8","C0603_N","1","100nF 16V","180","Top","","-39.5","12.25"
"D1","LITE_LTW-010DCG","1","LTW-010DCG-SR-G","180","Top","","-14.63","3.291"
"D2","LITE_LTW-010DCG","1","LTW-010DCG-SR-G","0","Top","","-27.97","-50.659"
"D3","LITE_LTW-010DCG","1","LTW-010DCG-SR-G","0","Top","","14.03","-50.659"
"D4","LITE_LTW-010DCG","1","LTW-010DCG-SR-G","180","Top","","14.58","3.291"
"D5","LITE_LTW-010DCG","1","LTW-010DCG-SR-G","180","Top","","-29.23","3.291"
"D6","LITE_LTW-010DCG","1","LTW-010DCG-SR-G","0","Top","","-13.97","-50.659"
"D7","LITE_LTW-010DCG","1","LTW-010DCG-SR-G","180","Top","","29.18","3.291"
"D8","LED_0805_GR","1","","180","Top","","46.5","-50.5"
"D9","LITE_LTW-010DCG","1","LTW-010DCG-SR-G","0","Top","","28.04","-50.659"
"F1","L0603","1","1A3 0R15","90","Top","","-23.75","22"
"F2","L0603","1","1A3 0R15","90","Top","","-25.25","22"
"MOD1","PHYX_LANA_TNY_SMD","1","LANA TNY","90","Top","","41.29","20.75"
"P1","HDR2X6","1","","0","Top","","-6.35","4.23"
"R1","R0603_N","1","0R","270","Top","","35.25","41.5"
"R3","R0603_N","1","100K","180","Top","","-26","14.5"
"R4","R0603_N","1","1M","90","Top","","-21.75","15.5"
"R5","R0603_N","1","0R","270","Top","","37.75","41.5"
"R6","R0603_N","1","100K","0","Top","","-36.25","15"
"SPK1","","1","GSPK3020035PN-8R1.0W-L100","0","None","","0","0"
"SW1","Solder_Party_Keyb","1","","0","Top","","-43.409","-48.36"
"U1","QFN_16_0.5_3X3","1","MAX98357A","90","Top","","-25","17.75"
"U2","WS_FSOP-8","1","WS2811F","90","Top","","-24.25","6"
"U3","WS_FSOP-8","1","WS2811F","90","Top","","-18.25","6"
"U4","WS_FSOP-8","1","WS2811F","0","Top","","46.5","-47.7"
"U5","TDK_ICS-43434","1","ICS-43434","180","Top","","-40.75","15"
